contact_id,response_date,agent_satisfaction,csat,issue_resolved
c52141,2020-06-21 08:36:34.000000,10,10,True
c52285,2020-06-20 21:39:18.000000,5,5,False
c52853,2020-06-21 09:51:05.000000,8,10,True
c52074,2020-06-20 18:07:45.000000,10,10,True
c52334,2020-06-20 21:23:27.000000,10,10,False
c52229,2020-06-20 20:31:27.000000,10,9,True
c53316,2020-06-21 07:53:13.000000,10,10,True
c52716,2020-06-24 10:26:54.000000,10,10,True
c53200,2020-06-21 08:32:59.000000,10,10,True
c52606,2020-06-22 08:09:54.000000,10,9,True
c52702,2020-06-21 08:16:48.000000,4,6,False
c53164,2020-06-21 06:59:02.000000,1,1,False
c52118,2020-06-20 19:39:45.000000,10,7,True
c53347,2020-06-21 08:43:59.000000,10,10,True
c52478,2020-06-21 05:50:38.000000,10,10,True
c52579,2020-06-21 08:09:03.000000,10,10,False
c52254,2020-06-20 20:04:41.000000,10,10,True
c52963,2020-06-23 20:39:07.000000,10,10,True
c53384,2020-06-21 08:57:26.000000,10,10,True
c52528,2020-06-20 22:11:27.000000,8,5,False
c52441,2020-06-20 22:57:20.000000,10,8,True
c52094,2020-06-21 02:07:39.000000,10,10,True
c52276,2020-06-21 15:04:22.000000,10,10,True
c53658,2020-06-21 09:18:14.000000,5,4,False
c53606,2020-06-21 09:51:46.000000,10,10,True
c53311,2020-06-21 05:11:19.000000,10,10,True
c53587,2020-06-21 07:04:33.000000,10,8,True
c52367,2020-06-21 07:53:23.000000,10,9,True
c53069,2020-06-22 09:58:43.000000,10,10,True
c52280,2020-06-21 18:03:40.000000,10,10,True
c52444,2020-06-21 05:53:14.000000,10,10,True
c52315,2020-06-21 05:50:36.000000,10,9,True
c52394,2020-06-30 04:37:52.000000,10,10,True
c53459,2020-06-23 12:30:43.000000,5,10,True
c53177,2020-06-21 09:29:56.000000,8,7,False
c53328,2020-06-21 10:46:48.000000,1,10,False
c52318,2020-06-21 07:57:06.000000,10,10,True
c53376,2020-06-21 10:08:39.000000,10,8,False
c52617,2020-06-20 23:14:05.000000,10,9,True
c53543,2020-06-21 06:30:25.000000,8,5,False
c53310,2020-06-21 04:22:44.000000,7,5,True
c53018,2020-06-21 02:55:35.000000,1,1,False
c52626,2020-06-21 07:59:22.000000,8,8,True
c52978,2020-06-21 06:44:17.000000,10,10,True
c52096,2020-06-22 21:29:55.000000,10,10,True
c1240,2020-06-02 04:30:29.000000,10,10,True
c1005,2020-06-02 01:26:08.000000,1,1,False
c617,2020-06-02 03:35:09.000000,10,10,True
c1070,2020-06-02 05:16:23.000000,8,5,True
c1586,2020-06-02 05:38:43.000000,5,5,True
c374,2020-06-08 13:56:28.000000,10,9,True
c266,2020-06-02 14:33:07.000000,1,3,False
c797,2020-06-02 00:02:28.000000,10,10,True
c1360,2020-06-02 09:38:00.000000,10,10,True
c1942,2020-06-04 12:14:18.000000,9,9,True
c1624,2020-06-02 06:09:36.000000,10,10,True
c1079,2020-06-02 04:50:17.000000,10,10,True
c1858,2020-06-02 11:07:35.000000,10,10,True
c1882,2020-06-02 10:51:46.000000,7,7,True
c1660,2020-06-03 19:21:59.000000,10,10,True
c731,2020-06-02 05:51:32.000000,10,10,True
c1968,2020-06-04 07:25:58.000000,10,10,True
c248,2020-06-01 21:57:00.000000,10,10,True
c689,2020-06-01 23:03:19.000000,10,10,True
c873,2020-06-02 12:24:41.000000,10,10,True
c1526,2020-06-02 07:27:17.000000,9,9,True
c2171,2020-06-02 10:16:10.000000,10,10,True
c2035,2020-06-02 09:23:23.000000,10,10,True
c1554,2020-06-02 16:28:40.000000,2,3,False
c1172,2020-06-02 09:04:16.000000,8,7,True
c2052,2020-06-02 09:04:14.000000,10,6,False
c258,2020-06-02 00:03:31.000000,8,9,True
c12,2020-06-02 06:39:28.000000,10,10,False
c147,2020-06-02 06:08:02.000000,3,7,False
c473,2020-06-02 09:04:57.000000,7,7,False
c1197,2020-06-02 10:12:18.000000,10,10,True
c966,2020-06-02 06:34:11.000000,10,9,True
c261,2020-06-03 19:51:24.000000,4,1,False
c696,2020-06-02 08:27:02.000000,10,10,True
c2077,2020-06-02 09:34:15.000000,8,8,True
c1610,2020-06-02 07:27:23.000000,9,9,True
c571,2020-06-02 08:09:02.000000,10,10,True
c482,2020-06-02 09:49:56.000000,10,10,True
c1857,2020-06-02 06:08:04.000000,10,10,True
c1464,2020-06-02 04:13:07.000000,10,8,True
c1575,2020-06-03 10:07:30.000000,6,6,False
c438,2020-06-03 13:38:23.000000,2,5,False
c706,2020-06-02 08:20:15.000000,2,3,False
c1802,2020-06-02 10:54:45.000000,10,9,False
c805,2020-06-02 12:56:02.000000,9,9,True
c325,2020-06-02 00:45:30.000000,10,10,True
c781,2020-06-02 07:07:34.000000,10,10,True
c1573,2020-06-02 05:17:09.000000,10,10,True
c1615,2020-06-06 06:26:11.000000,10,2,False
c67,2020-06-02 08:32:02.000000,10,10,True
c99,2020-06-01 20:37:21.000000,10,10,False
c1665,2020-06-02 05:18:10.000000,10,10,True
c793,2020-06-02 00:09:36.000000,10,10,True
c1186,2020-06-02 02:04:13.000000,9,6,False
c50,2020-06-01 19:29:53.000000,10,10,True
c1648,2020-06-02 06:26:00.000000,10,10,True
c229,2020-06-01 21:10:33.000000,10,10,True
c670,2020-06-02 07:16:06.000000,9,9,True
c2124,2020-06-02 09:06:43.000000,10,10,True
c1946,2020-06-02 09:29:17.000000,5,5,False
c1926,2020-06-02 10:56:26.000000,8,4,False
c846,2020-06-02 03:09:38.000000,10,10,True
c1049,2020-06-02 02:59:58.000000,10,9,False
c1105,2020-06-02 10:20:29.000000,10,10,True
c529,2020-06-02 07:08:38.000000,10,10,True
c804,2020-06-02 08:15:27.000000,10,9,False
c1959,2020-06-02 07:14:19.000000,8,6,False
c1313,2020-06-02 11:19:33.000000,10,10,True
c1798,2020-06-02 08:47:12.000000,10,10,True
c692,2020-06-02 09:36:41.000000,1,1,False
c1606,2020-06-02 14:33:31.000000,10,10,True
c1931,2020-06-02 11:15:48.000000,8,8,False
c1512,2020-06-02 07:55:28.000000,9,9,True
c787,2020-06-02 07:27:43.000000,10,10,True
c857,2020-06-02 07:29:59.000000,10,10,True
c1652,2020-06-03 06:47:22.000000,10,10,True
c287,2020-06-02 04:54:51.000000,5,5,True
c1001,2020-06-02 11:06:49.000000,9,8,True
c41,2020-06-01 21:08:34.000000,10,10,True
c1326,2020-06-02 18:13:07.000000,10,6,True
c517,2020-06-01 22:22:09.000000,10,10,True
c313,2020-06-01 21:03:24.000000,10,9,True
c1546,2020-06-04 08:25:27.000000,9,8,True
c2144,2020-06-02 12:21:21.000000,9,7,False
c2028,2020-06-02 11:28:37.000000,10,8,True
c411,2020-06-02 19:44:11.000000,10,10,True
c929,2020-06-02 18:27:05.000000,9,9,False
c790,2020-06-02 05:26:35.000000,4,4,False
c1277,2020-06-02 15:16:38.000000,10,9,False
c1733,2020-06-02 19:26:54.000000,10,10,True
c637,2020-06-05 13:51:33.000000,7,8,False
c28,2020-06-01 18:15:36.000000,10,10,True
c1571,2020-06-02 05:46:45.000000,9,8,True
c105,2020-06-02 04:20:31.000000,9,10,True
c2131,2020-06-03 10:20:17.000000,10,10,True
c988,2020-06-02 11:08:37.000000,10,10,False
c1459,2020-06-02 11:55:16.000000,9,10,True
c2006,2020-06-02 08:09:50.000000,4,3,True
c1851,2020-06-03 23:27:38.000000,10,10,True
c1195,2020-06-02 04:55:21.000000,10,10,True
c1320,2020-06-02 08:50:53.000000,9,9,True
c1633,2020-06-02 14:32:58.000000,10,9,True
c928,2020-06-02 07:38:13.000000,10,10,True
c419,2020-06-03 08:07:04.000000,10,10,True
c213,2020-06-02 08:31:34.000000,8,7,False
c2112,2020-06-02 12:09:09.000000,8,9,True
c1124,2020-06-02 10:17:55.000000,9,9,True
c505,2020-06-02 09:58:21.000000,1,1,False
c65,2020-06-01 19:02:03.000000,8,1,True
c1991,2020-06-02 20:54:30.000000,10,10,True
c1517,2020-06-02 17:08:02.000000,10,10,True
c580,2020-06-02 06:46:46.000000,10,9,True
c22,2020-06-02 23:18:58.000000,10,10,True
c1709,2020-06-02 12:00:17.000000,10,10,True
c999,2020-06-04 17:34:19.000000,10,10,True
c1218,2020-06-02 07:04:50.000000,10,9,True
c1344,2020-06-02 09:04:34.000000,5,5,True
c716,2020-06-02 19:57:16.000000,9,9,True
c420,2020-06-01 22:06:28.000000,10,9,True
c1878,2020-06-02 09:03:59.000000,8,7,True
c1092,2020-06-02 03:08:35.000000,10,10,True
c66,2020-06-01 19:03:05.000000,10,9,True
c433,2020-06-02 04:50:38.000000,10,10,True
c1317,2020-06-05 09:27:57.000000,3,1,False
c972,2020-06-04 18:32:23.000000,9,9,True
c1933,2020-06-02 19:48:50.000000,9,8,True
c1020,2020-06-02 02:19:00.000000,9,9,True
c1288,2020-06-02 05:33:55.000000,6,3,False
c165,2020-06-02 09:19:20.000000,9,9,True
c1565,2020-06-02 08:33:01.000000,10,8,True
c486,2020-06-02 21:28:07.000000,7,8,False
c1140,2020-06-02 12:10:21.000000,10,9,True
c1906,2020-06-02 07:38:54.000000,10,10,True
c1864,2020-06-02 06:58:42.000000,10,10,True
c51,2020-06-02 06:40:04.000000,3,3,False
c1870,2020-06-02 07:34:39.000000,10,9,True
c667,2020-06-02 00:57:34.000000,10,10,True
c659,2020-06-02 09:11:57.000000,5,1,False
c1424,2020-06-02 06:37:11.000000,10,10,True
c389,2020-06-01 23:05:23.000000,10,10,True
c1115,2020-06-02 07:31:09.000000,10,9,True
c49,2020-06-01 19:23:01.000000,10,10,True
c2059,2020-06-03 23:54:20.000000,4,4,False
c661,2020-06-03 04:43:10.000000,10,10,True
c430,2020-06-04 12:02:43.000000,3,10,True
c355,2020-06-01 22:18:33.000000,10,10,False
c1228,2020-06-02 04:21:24.000000,7,1,True
c1764,2020-06-02 19:26:39.000000,10,10,False
c2086,2020-06-02 09:03:05.000000,10,10,True
c855,2020-06-02 10:22:32.000000,10,10,True
c1101,2020-06-02 07:47:16.000000,3,3,False
c677,2020-06-02 19:44:17.000000,10,10,True
c890,2020-06-02 12:09:16.000000,10,9,True
c439,2020-06-02 10:54:23.000000,9,8,False
c619,2020-06-02 07:53:30.000000,10,8,True
c1966,2020-06-02 07:27:32.000000,10,8,True
c216,2020-06-02 06:58:41.000000,10,10,True
c1063,2020-06-02 20:21:25.000000,10,10,True
c1779,2020-06-02 07:41:46.000000,3,2,False
c2036,2020-06-08 21:13:34.000000,10,9,True
c1493,2020-06-02 13:56:15.000000,1,6,False
c2151,2020-06-03 11:21:26.000000,10,10,True
c1494,2020-06-02 08:45:46.000000,8,8,True
c2047,2020-06-02 12:39:52.000000,8,8,False
c844,2020-06-02 06:25:53.000000,9,9,True
c1477,2020-06-02 04:16:21.000000,2,5,False
c1454,2020-06-02 04:06:20.000000,10,9,True
c4102,2020-06-03 08:12:06.000000,10,10,True
c2457,2020-06-03 05:28:25.000000,9,9,True
c2364,2020-06-04 13:13:57.000000,1,1,False
c3628,2020-06-03 21:37:39.000000,10,10,True
c2502,2020-06-02 21:07:14.000000,10,10,True
c2376,2020-06-03 05:43:56.000000,10,10,True
c3356,2020-06-03 10:55:23.000000,10,10,True
c3667,2020-06-03 07:24:47.000000,1,2,False
c3873,2020-06-03 06:33:35.000000,10,10,True
c3753,2020-06-03 12:42:13.000000,7,7,True
c2682,2020-06-02 21:19:08.000000,1,1,False
c2561,2020-06-03 07:18:55.000000,7,9,False
c2343,2020-06-02 22:15:51.000000,8,10,True
c3485,2020-06-03 19:40:07.000000,9,10,True
c3269,2020-06-03 00:33:08.000000,10,10,False
c2472,2020-06-02 20:04:13.000000,9,10,True
c2390,2020-06-02 22:04:21.000000,10,9,True
c2513,2020-06-02 21:39:54.000000,10,9,True
c2789,2020-06-03 04:02:07.000000,10,8,False
c3256,2020-06-03 08:10:05.000000,10,9,True
c2313,2020-06-02 21:36:16.000000,8,8,True
c4638,2020-06-04 05:23:32.000000,10,10,True
c2475,2020-06-03 15:44:45.000000,4,1,False
c2226,2020-06-02 22:48:04.000000,10,10,True
c4659,2020-06-03 18:36:47.000000,10,10,False
c3037,2020-06-03 13:46:10.000000,1,1,False
c4799,2020-06-03 12:18:14.000000,9,9,True
c4741,2020-06-03 08:40:46.000000,10,10,True
c2839,2020-06-03 09:41:27.000000,8,8,True
c2507,2020-06-03 05:20:36.000000,2,3,False
c2650,2020-06-02 21:09:17.000000,10,10,True
c4420,2020-06-03 07:05:28.000000,8,3,False
c2880,2020-06-02 22:39:26.000000,10,10,True
c2634,2020-06-03 04:43:34.000000,6,5,False
c2828,2020-06-03 08:23:47.000000,10,10,True
c4841,2020-06-03 09:20:08.000000,10,10,False
c2762,2020-06-05 13:49:10.000000,1,1,False
c4264,2020-06-03 06:35:50.000000,10,8,True
c2307,2020-06-03 06:54:46.000000,10,10,True
c4261,2020-06-03 15:06:19.000000,10,10,False
c4177,2020-06-05 10:18:23.000000,10,10,True
c3579,2020-06-03 17:31:50.000000,10,10,True
c3093,2020-06-03 10:12:21.000000,10,10,True
c3763,2020-06-04 11:07:39.000000,10,10,True
c4586,2020-06-03 07:12:21.000000,10,10,True
c3928,2020-06-03 09:26:27.000000,10,10,False
c4783,2020-06-03 08:12:01.000000,10,10,True
c3298,2020-06-03 08:37:01.000000,10,10,True
c2692,2020-06-02 21:12:40.000000,10,9,True
c4561,2020-06-03 10:37:45.000000,10,10,True
c3599,2020-06-03 07:07:04.000000,10,10,True
c3202,2020-06-03 05:10:49.000000,3,2,True
c2549,2020-06-03 06:44:36.000000,10,10,True
c3038,2020-06-03 10:18:46.000000,5,4,False
c3450,2020-06-03 05:54:06.000000,1,1,True
c3131,2020-06-03 08:48:05.000000,10,10,True
c4125,2020-06-03 06:44:11.000000,10,9,True
c2221,2020-06-02 18:26:00.000000,1,1,True
c2369,2020-06-03 06:42:05.000000,7,7,True
c3354,2020-06-03 20:03:15.000000,8,9,True
c2259,2020-06-02 19:54:44.000000,10,10,True
c2660,2020-06-03 16:54:21.000000,10,9,True
c3056,2020-06-08 19:42:18.000000,1,1,False
c3811,2020-06-03 15:01:43.000000,9,9,False
c2233,2020-06-02 18:26:27.000000,1,1,False
c2224,2020-06-02 18:44:53.000000,10,10,True
c2277,2020-06-02 19:19:15.000000,10,9,True
c2763,2020-06-03 13:57:57.000000,10,10,True
c3293,2020-06-03 04:37:49.000000,10,10,True
c2715,2020-06-02 22:19:36.000000,6,6,False
c3713,2020-06-03 03:19:05.000000,9,9,True
c4150,2020-06-03 06:36:28.000000,10,10,True
c3177,2020-06-03 12:28:24.000000,10,10,True
c3542,2020-06-03 10:33:59.000000,10,10,True
c2479,2020-06-02 20:05:09.000000,10,10,True
c3496,2020-06-03 06:35:35.000000,10,10,True
c4203,2020-06-03 05:11:52.000000,10,10,True
c3334,2020-06-03 11:38:24.000000,10,10,True
c4649,2020-06-03 18:21:44.000000,10,10,True
c2603,2020-06-02 21:19:08.000000,9,9,True
c4231,2020-06-04 15:13:26.000000,10,10,True
c3553,2020-06-03 11:28:03.000000,10,10,True
c3555,2020-06-03 12:43:04.000000,10,10,True
c2961,2020-06-02 23:50:38.000000,9,9,True
c4695,2020-06-03 11:27:08.000000,8,7,True
c2362,2020-06-02 20:03:22.000000,1,1,False
c2568,2020-06-03 09:59:35.000000,1,1,False
c4426,2020-06-03 08:41:07.000000,8,8,True
c2439,2020-06-02 20:38:52.000000,8,8,False
c3659,2020-06-03 07:09:07.000000,8,5,False
c2435,2020-06-02 21:06:36.000000,9,9,True
c3685,2020-06-03 07:07:38.000000,5,8,True
c2555,2020-06-02 22:36:16.000000,8,8,True
c3769,2020-06-03 14:20:18.000000,10,10,True
c4575,2020-06-03 07:17:24.000000,1,1,False
c4311,2020-06-08 21:12:41.000000,10,9,True
c4073,2020-06-03 10:46:38.000000,9,9,True
c4688,2020-06-03 09:55:17.000000,10,10,True
c4770,2020-06-03 08:07:20.000000,9,9,True
c4634,2020-06-03 07:11:04.000000,7,7,False
c4418,2020-06-04 19:10:12.000000,4,4,False
c2401,2020-06-02 20:23:51.000000,10,10,True
c4006,2020-06-03 05:13:12.000000,10,10,True
c2349,2020-06-02 20:31:42.000000,8,1,False
c3129,2020-06-03 02:41:33.000000,1,1,False
c2399,2020-06-02 20:17:40.000000,10,10,True
c3199,2020-06-03 07:04:24.000000,9,8,True
c2875,2020-06-03 07:30:15.000000,10,9,False
c3559,2020-06-03 07:13:05.000000,9,10,True
c2296,2020-06-02 19:41:50.000000,1,1,False
c2207,2020-06-02 22:40:54.000000,10,10,True
c3285,2020-06-03 04:09:26.000000,10,10,False
c2834,2020-06-03 18:55:09.000000,5,6,False
c3674,2020-06-03 10:18:56.000000,9,9,True
c3147,2020-06-03 07:01:57.000000,10,10,True
c4392,2020-06-04 14:38:40.000000,8,8,True
c3498,2020-06-03 07:10:56.000000,9,9,True
c3669,2020-06-03 15:20:26.000000,8,8,True
c3239,2020-06-03 00:27:39.000000,10,10,False
c3020,2020-06-03 22:20:14.000000,10,10,True
c3855,2020-06-03 10:21:43.000000,10,10,True
c4550,2020-06-06 20:51:14.000000,10,10,True
c2395,2020-06-02 20:18:46.000000,5,7,True
c2258,2020-06-03 10:50:11.000000,10,9,True
c2450,2020-06-03 12:48:07.000000,10,10,True
c3698,2020-06-03 10:11:58.000000,8,10,False
c4394,2020-06-03 09:02:17.000000,10,10,True
c4380,2020-06-03 06:10:50.000000,1,1,False
c2940,2020-06-03 19:38:24.000000,10,10,True
c4558,2020-06-03 08:39:25.000000,10,10,True
c3098,2020-06-03 09:31:10.000000,8,9,True
c3541,2020-06-03 09:16:13.000000,10,10,True
c4004,2020-06-03 04:29:37.000000,10,10,True
c2216,2020-06-02 19:27:41.000000,10,10,True
c4699,2020-06-03 21:19:07.000000,7,3,False
c4117,2020-06-03 06:29:48.000000,10,10,True
c3939,2020-06-03 05:19:28.000000,10,10,True
c2924,2020-06-03 11:23:07.000000,10,10,True
c4359,2020-06-03 15:46:38.000000,10,10,True
c4693,2020-06-03 07:59:53.000000,10,10,True
c2662,2020-06-03 10:11:24.000000,10,10,True
c3440,2020-06-05 15:36:26.000000,10,8,True
c4411,2020-06-03 09:09:23.000000,10,10,True
c2496,2020-06-03 05:13:52.000000,10,9,True
c2291,2020-06-06 02:06:45.000000,10,10,True
c2522,2020-06-02 21:14:41.000000,10,9,True
c3968,2020-06-03 06:11:02.000000,10,10,True
c3118,2020-06-03 14:21:20.000000,9,9,True
c2480,2020-06-03 12:10:06.000000,10,10,True
c3994,2020-06-03 12:59:03.000000,10,10,True
c3358,2020-06-03 07:16:43.000000,8,6,False
c2583,2020-06-03 03:49:56.000000,10,10,True
c4183,2020-06-03 05:46:19.000000,1,1,False
c2693,2020-06-03 07:43:36.000000,10,10,True
c2777,2020-06-04 10:27:17.000000,10,9,False
c3187,2020-06-03 07:48:08.000000,10,10,True
c3234,2020-06-03 00:53:24.000000,10,10,True
c3418,2020-06-03 10:59:54.000000,7,8,False
c3084,2020-06-03 14:09:56.000000,6,5,False
c2973,2020-06-03 13:13:01.000000,9,1,True
c3644,2020-06-03 04:44:39.000000,10,9,True
c2206,2020-06-03 16:45:04.000000,1,1,False
c4233,2020-06-03 11:38:11.000000,10,10,True
c4284,2020-06-03 06:57:40.000000,10,9,False
c4543,2020-06-03 07:09:11.000000,10,10,True
c3208,2020-06-03 07:35:40.000000,8,7,True
c2261,2020-06-03 05:52:41.000000,8,7,False
c2536,2020-06-03 00:16:01.000000,8,8,True
c2584,2020-06-02 22:14:44.000000,9,9,True
c2333,2020-06-03 12:21:38.000000,8,8,True
c3122,2020-06-03 13:08:42.000000,10,10,True
c2976,2020-06-03 07:06:47.000000,9,8,True
c2436,2020-06-02 21:24:47.000000,8,8,True
c3086,2020-06-03 09:19:42.000000,10,9,True
c3592,2020-06-03 07:05:12.000000,10,10,True
c4836,2020-06-04 05:16:28.000000,10,10,True
c3848,2020-06-06 22:04:04.000000,10,10,True
c2334,2020-06-03 10:01:09.000000,10,10,True
c2711,2020-06-02 22:16:52.000000,10,7,True
c2831,2020-06-03 06:01:39.000000,10,10,False
c2500,2020-06-12 00:53:40.000000,9,9,True
c3203,2020-06-03 08:52:35.000000,10,9,False
c2567,2020-06-02 21:11:45.000000,10,10,True
c6817,2020-06-04 08:39:26.000000,10,9,True
c6492,2020-06-04 05:55:28.000000,9,8,True
c5463,2020-06-04 15:08:32.000000,7,5,False
c5637,2020-06-03 23:17:25.000000,10,10,True
c6739,2020-06-04 07:36:15.000000,9,9,True
c4919,2020-06-03 19:15:33.000000,10,10,True
c5406,2020-06-03 22:31:06.000000,3,3,False
c6690,2020-06-04 07:24:42.000000,10,10,True
c6820,2020-06-04 06:44:50.000000,10,9,False
c7368,2020-06-04 09:09:33.000000,2,1,False
c5563,2020-06-04 06:06:10.000000,10,10,True
c5717,2020-06-04 13:28:49.000000,10,10,True
c5790,2020-06-04 07:19:59.000000,10,8,True
c6401,2020-06-04 08:38:01.000000,9,8,True
c5926,2020-06-04 07:44:35.000000,10,10,True
c5604,2020-06-04 07:42:36.000000,10,10,True
c5388,2020-06-04 14:46:23.000000,10,10,True
c6530,2020-06-04 15:09:18.000000,5,5,False
c7236,2020-06-04 06:27:09.000000,10,10,True
c7550,2020-06-04 10:51:50.000000,10,7,True
c7405,2020-06-05 05:26:00.000000,8,8,False
c5954,2020-06-04 16:17:21.000000,9,9,True
c7503,2020-06-04 07:20:46.000000,7,5,False
c5231,2020-06-03 21:08:17.000000,10,10,True
c7785,2020-06-04 10:31:40.000000,10,10,True
c6834,2020-06-04 09:03:56.000000,9,8,True
c7830,2020-06-04 09:51:27.000000,9,9,True
c5351,2020-06-04 06:05:06.000000,10,10,True
c6070,2020-06-04 06:15:02.000000,10,10,True
c7644,2020-06-04 15:13:48.000000,7,7,True
c6043,2020-06-04 07:03:14.000000,10,10,True
c5850,2020-06-04 00:03:39.000000,10,10,True
c5023,2020-06-03 20:18:09.000000,6,7,False
c7759,2020-06-04 10:05:41.000000,8,8,False
c6506,2020-06-04 04:47:05.000000,10,10,True
c7380,2020-06-04 07:05:58.000000,10,10,True
c5871,2020-06-04 08:21:39.000000,10,10,True
c5280,2020-06-03 21:13:07.000000,10,10,True
c7496,2020-06-04 08:57:33.000000,10,10,True
c7583,2020-06-15 22:15:24.000000,10,9,False
c5064,2020-06-03 20:26:45.000000,1,1,False
c6629,2020-06-04 03:04:24.000000,10,10,True
c6460,2020-06-04 15:18:43.000000,8,8,True
c6636,2020-06-05 09:49:34.000000,10,10,True
c6722,2020-06-04 11:25:05.000000,10,10,True
c5286,2020-06-03 21:06:02.000000,10,10,True
c7018,2020-06-04 05:12:57.000000,10,10,True
c4884,2020-06-03 19:16:18.000000,10,10,True
c5277,2020-06-04 23:11:45.000000,4,5,False
c4967,2020-06-04 01:13:15.000000,10,10,True
c6230,2020-06-04 07:18:10.000000,1,1,False
c4882,2020-06-04 06:04:55.000000,10,10,True
c6469,2020-06-04 03:44:10.000000,10,10,True
c7716,2020-06-04 12:03:03.000000,10,3,False
c7462,2020-06-04 07:37:39.000000,9,8,True
c5288,2020-06-04 08:28:21.000000,10,9,True
c7265,2020-06-04 09:35:05.000000,7,7,True
c7322,2020-06-05 15:34:53.000000,10,10,True
c5501,2020-06-04 05:08:02.000000,8,7,False
c7598,2020-06-04 08:25:27.000000,4,1,False
c7262,2020-06-04 07:13:35.000000,10,10,True
c6004,2020-06-04 15:19:45.000000,8,5,False
c6588,2020-06-04 04:55:04.000000,10,10,True
c7791,2020-06-09 17:04:04.000000,10,9,True
c7337,2020-06-04 13:22:23.000000,9,8,False
c5543,2020-06-04 20:33:38.000000,10,10,True
